,Team,Player,Span,Mat,Inns,NO,Runs,HS,Ave,SR,100,50,0
339,Multan Sultans,B Muzarabani,2021-2022,10,3,-,-,-,0.00,0.00,-,-,3
340,Multan Sultans,Noman Ali,2019-2019,4,2,-,5,3,2.50,71.42,-,-,-
341,Multan Sultans,KA Pollard,2018-2023,21,18,8,425,73,42.50,157.99,-,3,1
342,Multan Sultans,Rahmanullah Gurbaz,2021-2021,1,1,-,3,3,3.00,75.00,-,-,-
343,Multan Sultans,Rohail Nazir,2020-2020,2,2,-,38,24,19.00,122.58,-,-,-
344,Multan Sultans,RR Rossouw,2020-2023,43,41,9,1117,121,34.90,162.11,2,7,4
345,Multan Sultans,Rumman Raees,2022-2022,6,1,-,6,6,6.00,85.71,-,-,-
346,Multan Sultans,AD Russell,2019-2019,4,4,-,50,18,12.50,166.66,-,-,-
347,Multan Sultans,Saif Badar,2018-2018,10,4,-,21,13,5.25,91.30,-,-,2
348,Multan Sultans,Sameen Gul,2023-2023,4,-,-,-,-,0.00,0.00,-,-,-
349,Multan Sultans,KC Sangakkara,2018-2018,10,9,1,269,63,33.62,125.11,-,3,1
350,Multan Sultans,Shahid Afridi,2019-2021,21,16,5,154,35*,14.00,133.91,-,-,3
351,Multan Sultans,Shahnawaz Dahani,2021-2024,27,5,3,6,6*,3.00,54.54,-,-,2
352,Multan Sultans,Shakeel Ansar,2019-2019,1,1,1,-,0*,0.00,0.00,-,-,-
353,Multan Sultans,Shan Masood,2019-2023,43,42,-,1318,88,31.38,133.94,-,9,1
354,Multan Sultans,Shoaib Malik,2018-2019,20,17,5,490,65*,40.83,119.80,-,3,-
355,Multan Sultans,Sohaibullah,2021-2021,1,-,-,-,-,0.00,0.00,-,-,-
356,Multan Sultans,Sohaib Maqsood,2018-2022,29,28,6,771,85*,35.04,137.92,-,6,-
357,Multan Sultans,Sohail Khan,2021-2021,5,2,-,16,8,8.00,114.28,-,-,-
358,Multan Sultans,Sohail Tanvir,2018-2021,28,18,11,184,34*,26.28,126.89,-,-,-
359,Multan Sultans,OP Stone,2024-2024,1,-,-,-,-,0.00,0.00,-,-,-
360,Multan Sultans,Tayyab Tahir,2024-2024,6,4,2,85,35*,42.50,151.78,-,-,-
361,Multan Sultans,Umar Gul,2018-2018,2,1,-,10,10,10.00,166.66,-,-,-
362,Multan Sultans,Umar Siddiq,2019-2019,7,7,-,169,53,24.14,112.66,-,1,-
363,Multan Sultans,Usama Mir,2023-2024,24,7,1,56,17,9.33,215.38,-,-,2
364,Multan Sultans,Usman Khan,2023-2024,11,11,3,597,120,74.62,172.54,3,2,1
365,Multan Sultans,Usman Qadir,2020-2021,5,1,-,4,4,4.00,80.00,-,-,-
366,Multan Sultans,GC Viljoen,2018-2018,2,1,-,2,2,2.00,28.57,-,-,-
367,Multan Sultans,JM Vince,2019-2021,18,18,1,560,84,32.94,146.98,-,3,1
368,Multan Sultans,RA Whiteley,2018-2018,3,3,-,27,16,9.00,103.84,-,-,1
369,Multan Sultans,DJ Willey,2022-2024,19,8,4,66,28*,16.50,100.00,-,-,2
370,Multan Sultans,Yasir Khan,2024-2024,8,7,-,164,54,23.42,125.19,-,1,-
371,Multan Sultans,Zeeshan Ashraf,2020-2020,11,11,-,202,52,18.36,130.32,-,2,-
372,Peshawar Zalmi,Aamer Jamal,2023-2024,14,13,5,167,87,20.87,151.81,-,1,-
373,Peshawar Zalmi,Aamer Yamin,2016-2016,2,-,-,-,-,0.00,0.00,-,-,-
374,Peshawar Zalmi,Abdur Rehman,2016-2016,1,-,-,-,-,0.00,0.00,-,-,-
375,Peshawar Zalmi,Abrar Ahmed,2021-2021,2,-,-,-,-,0.00,0.00,-,-,-
376,Peshawar Zalmi,Adil Amin,2020-2020,1,1,1,7,7*,0.00,100.00,-,-,-
377,Peshawar Zalmi,Aimal Khan,2024-2024,1,-,-,-,-,0.00,0.00,-,-,-
378,Peshawar Zalmi,Ali Majid,2022-2022,1,-,-,-,-,0.00,0.00,-,-,-
379,Peshawar Zalmi,FA Allen,2021-2021,3,3,1,3,3,1.50,50.00,-,-,1
380,Peshawar Zalmi,J Allenby,2016-2016,2,2,-,38,31,19.00,95.00,-,-,-
381,Peshawar Zalmi,Amad Butt,2021-2022,6,5,3,67,27*,33.50,216.12,-,-,-
382,Peshawar Zalmi,Arif Yaqoob,2024-2024,5,2,2,10,9*,0.00,125.00,-,-,-
383,Peshawar Zalmi,Arish Ali,2022-2022,1,1,-,-,-,0.00,0.00,-,-,1
384,Peshawar Zalmi,Arshad Iqbal,2022-2023,8,3,2,5,2*,5.00,50.00,-,-,-
385,Peshawar Zalmi,Asif Ali,2024-2024,6,6,2,72,23,18.00,141.17,-,-,-
386,Peshawar Zalmi,Azmatullah Omarzai,2023-2023,6,3,1,26,16*,13.00,185.71,-,-,1
387,Peshawar Zalmi,Babar Azam,2023-2024,22,22,2,1091,115,54.55,143.93,2,10,2
388,Peshawar Zalmi,JM Bairstow,2016-2016,1,1,-,15,15,15.00,93.75,-,-,-
389,Peshawar Zalmi,T Banton,2020-2020,7,7,1,74,34,12.33,129.82,-,-,2
390,Peshawar Zalmi,RS Bopara,2021-2021,2,2,1,108,58*,108.00,128.57,-,2,-
391,Peshawar Zalmi,CR Brathwaite,2020-2020,4,3,1,34,16*,17.00,141.66,-,-,-
392,Peshawar Zalmi,PR Brown,2022-2022,2,-,-,-,-,0.00,0.00,-,-,-
393,Peshawar Zalmi,BCJ Cutting,2022-2022,9,9,2,197,52*,28.14,164.16,-,1,1
394,Peshawar Zalmi,LA Dawson,2018-2020,24,19,3,363,62,22.68,125.60,-,2,2
395,Peshawar Zalmi,F du Plessis,2020-2020,1,1,-,31,31,31.00,124.00,-,-,-
396,Peshawar Zalmi,ADS Fletcher,2018-2019,9,9,-,158,34,17.55,114.49,-,-,-
397,Peshawar Zalmi,L Gregory,2020-2020,4,4,1,68,25,22.66,161.90,-,-,-
398,Peshawar Zalmi,Haider Ali,2020-2022,28,28,4,557,69,23.20,137.87,-,2,3
399,Peshawar Zalmi,Hammad Azam,2018-2020,3,3,1,10,7,5.00,111.11,-,-,1
400,Peshawar Zalmi,Haris Sohail,2017-2018,6,6,1,50,14,10.00,71.42,-,-,-
401,Peshawar Zalmi,Hasan Ali,2016-2020,45,21,7,94,15,6.71,138.23,-,-,1
402,Peshawar Zalmi,Haseebullah Khan,2023-2024,14,12,1,177,50,16.09,142.74,-,1,1
403,Peshawar Zalmi,Hazratullah Zazai,2021-2022,12,12,-,382,77,31.83,152.80,-,4,2
404,Peshawar Zalmi,BJ Hodge,2016-2016,4,4,2,93,85*,46.50,152.45,-,1,1
405,Peshawar Zalmi,BAC Howell,2022-2022,1,1,1,2,2*,0.00,200.00,-,-,-
406,Peshawar Zalmi,Hussain Talat,2022-2024,10,9,3,185,52,30.83,127.58,-,2,-
407,Peshawar Zalmi,Ibtisam Sheikh,2018-2019,8,2,1,2,2,2.00,33.33,-,-,-
408,Peshawar Zalmi,Iftikhar Ahmed,2017-2017,3,3,-,15,14,5.00,60.00,-,-,1
409,Peshawar Zalmi,Imam-ul-Haq,2019-2021,22,22,-,542,59,24.63,124.31,-,5,2
410,Peshawar Zalmi,Imran Khan,2016-2017,2,1,1,-,0*,0.00,0.00,-,-,-
411,Peshawar Zalmi,CJ Jordan,2017-2019,13,10,7,64,36,21.33,100.00,-,-,1
412,Peshawar Zalmi,Junaid Khan,2016-2017,9,5,5,3,1*,0.00,42.85,-,-,-
413,Peshawar Zalmi,Kamran Akmal,2016-2022,75,74,2,1972,107*,27.38,136.94,3,12,8
414,Peshawar Zalmi,Khalid Usman,2018-2022,5,3,2,43,19*,43.00,126.47,-,-,-
415,Peshawar Zalmi,Khurram Shahzad,2023-2024,5,2,1,13,11*,13.00,68.42,-,-,-
416,Peshawar Zalmi,Khushdil Shah,2017-2018,4,3,-,13,8,4.33,56.52,-,-,-
417,Peshawar Zalmi,T Kohler-Cadmore,2021-2024,26,26,2,581,92,24.20,136.70,-,4,2
418,Peshawar Zalmi,LS Livingstone,2020-2022,12,11,2,147,54*,16.33,137.38,-,1,2
419,Peshawar Zalmi,WL Madsen,2019-2019,2,2,-,5,5,2.50,26.31,-,-,1
420,Peshawar Zalmi,S Mahmood,2020-2022,8,4,3,13,11*,13.00,86.66,-,-,1
421,Peshawar Zalmi,DJ Malan,2016-2019,16,16,2,377,60*,26.92,112.20,-,2,-
422,Peshawar Zalmi,Mehran Mumtaz,2024-2024,5,1,-,-,-,0.00,0.00,-,-,1
423,Peshawar Zalmi,DA Miller,2021-2021,3,3,-,116,73,38.66,139.75,-,1,-
424,Peshawar Zalmi,TS Mills,2019-2019,5,-,-,-,-,0.00,0.00,-,-,-
425,Peshawar Zalmi,Misbah-ul-Haq,2019-2019,3,3,2,126,59*,126.00,121.15,-,1,-
426,Peshawar Zalmi,Mohammad Amir Khan,2020-2020,4,1,1,7,7*,0.00,77.77,-,-,-
427,Peshawar Zalmi,Mohammad Asghar,2016-2018,21,3,2,1,1*,1.00,20.00,-,-,1
428,Peshawar Zalmi,Mohammad Hafeez,2016-2018,33,31,1,671,77,22.36,113.53,-,4,3
429,Peshawar Zalmi,Mohammad Haris,2022-2024,27,26,1,658,85,26.32,171.35,-,3,2
430,Peshawar Zalmi,Mohammad Imran,2020-2020,1,1,-,8,8,8.00,200.00,-,-,-
431,Peshawar Zalmi,Mohammad Imran,2021-2021,11,2,1,1,1*,1.00,33.33,-,-,1
432,Peshawar Zalmi,Mohammad Irfan,2021-2021,10,1,1,-,0*,0.00,0.00,-,-,-
433,Peshawar Zalmi,Mohammad Mohsin,2020-2020,2,1,-,-,-,0.00,0.00,-,-,1
434,Peshawar Zalmi,Mohammad Umar,2022-2022,6,2,-,3,3,1.50,30.00,-,-,1
435,Peshawar Zalmi,Mohammad Zeeshan,2024-2024,3,2,-,-,-,0.00,0.00,-,-,2
436,Peshawar Zalmi,EJG Morgan,2017-2017,6,6,1,136,80*,27.20,103.81,-,1,-
437,Peshawar Zalmi,DR Mousley,2024-2024,1,1,-,11,11,11.00,91.66,-,-,-
438,Peshawar Zalmi,Mujeeb Ur Rahman,2021-2023,11,3,2,3,2,3.00,100.00,-,-,-
439,Peshawar Zalmi,Nabi Gul,2019-2019,2,1,-,9,9,9.00,75.00,-,-,-
440,Peshawar Zalmi,Naveen-ul-Haq,2024-2024,6,2,1,16,10*,16.00,123.07,-,-,-
441,Peshawar Zalmi,JDS Neesham,2023-2023,7,7,1,87,38,14.50,131.81,-,-,-
442,Peshawar Zalmi,KA Pollard,2019-2019,13,13,3,284,52*,28.40,173.17,-,2,1
443,Peshawar Zalmi,R Powell,2021-2024,27,26,6,504,64,25.20,154.12,-,1,3
444,Peshawar Zalmi,Rahat Ali,2020-2020,10,1,-,1,1,1.00,16.66,-,-,-
445,Peshawar Zalmi,PBB Rajapaksa,2023-2023,5,5,1,97,41,24.25,146.96,-,-,-
446,Peshawar Zalmi,SE Rutherford,2021-2022,22,21,6,436,70*,29.06,148.80,-,2,1
447,Peshawar Zalmi,Saad Masood,2023-2023,1,1,-,16,16,16.00,200.00,-,-,-
448,Peshawar Zalmi,Saad Nasim,2018-2018,5,5,1,65,35,16.25,138.29,-,-,-
449,Peshawar Zalmi,Sabbir Rahman,2018-2018,2,1,-,11,11,11.00,100.00,-,-,-
450,Peshawar Zalmi,Saim Ayub,2023-2024,23,23,-,686,88,29.82,161.41,-,7,3
451,Peshawar Zalmi,Salman Irshad,2022-2024,22,6,4,6,3*,3.00,30.00,-,-,1
452,Peshawar Zalmi,Sameen Gul,2018-2022,19,4,4,10,7*,0.00,58.82,-,-,-
453,Peshawar Zalmi,DJG Sammy,2016-2020,49,39,12,691,48,25.59,146.39,-,-,2
454,Peshawar Zalmi,MN Samuels,2017-2017,5,5,1,81,37*,20.25,120.89,-,-,-
455,Peshawar Zalmi,Shahid Afridi,2016-2017,20,15,2,264,54,20.30,168.15,-,1,2
456,Peshawar Zalmi,Shahid Yousuf,2016-2016,9,6,1,99,27*,19.80,102.06,-,-,-
457,Peshawar Zalmi,MD Shanaka,2023-2023,2,2,1,27,16*,27.00,103.84,-,-,-
458,Peshawar Zalmi,Shakib Al Hasan,2017-2023,6,5,1,55,30,13.75,112.24,-,-,-
459,Peshawar Zalmi,Shoaib Malik,2020-2022,33,32,5,1033,73,38.25,141.31,-,8,2
460,Peshawar Zalmi,DR Smith,2018-2018,10,9,1,252,71*,31.50,126.63,-,1,-
461,Peshawar Zalmi,Sohaib Maqsood,2017-2020,12,11,2,120,30*,13.33,95.23,-,-,3
462,Peshawar Zalmi,Sohail Khan,2022-2022,2,-,-,-,-,0.00,0.00,-,-,-
463,Peshawar Zalmi,Sufiyan Muqeem,2023-2023,5,2,2,10,6*,0.00,83.33,-,-,-
464,Peshawar Zalmi,SW Tait,2016-2016,9,2,2,-,0*,0.00,0.00,-,-,-
465,Peshawar Zalmi,Tamim Iqbal,2016-2018,17,17,4,522,80*,40.15,111.77,-,4,-
466,Peshawar Zalmi,Umaid Asif,2018-2021,29,10,5,86,25,17.20,165.38,-,-,2
467,Peshawar Zalmi,Umar Amin,2019-2020,12,9,3,218,61*,36.33,117.20,-,2,1
468,Peshawar Zalmi,Usman Qadir,2022-2023,10,5,3,32,12,16.00,160.00,-,-,-
469,Peshawar Zalmi,GC Viljoen,2020-2020,1,1,-,37,37,37.00,231.25,-,-,-
470,Peshawar Zalmi,Wahab Riaz,2016-2023,88,54,21,359,33*,10.87,128.21,-,-,10
471,Peshawar Zalmi,PI Walter,2024-2024,5,5,2,84,33,28.00,135.48,-,-,-
472,Peshawar Zalmi,Waqar Salamkheil,2021-2024,2,1,-,-,-,0.00,0.00,-,-,1
473,Peshawar Zalmi,JW Wells,2021-2021,2,2,1,61,55*,61.00,108.92,-,1,-
474,Peshawar Zalmi,MH Wessels,2018-2018,4,4,1,68,31*,22.66,109.67,-,-,-
475,Peshawar Zalmi,L Wood,2024-2024,11,6,3,41,17*,13.66,136.66,-,-,1
476,Peshawar Zalmi,Yasir Khan,2022-2022,4,4,-,87,35,21.75,152.63,-,-,-
477,Peshawar Zalmi,Yasir Shah,2020-2020,4,1,1,1,1*,0.00,100.00,-,-,-
478,Quetta Gladiators,Abdul Bangalzai,2022-2023,5,4,-,15,14,3.75,65.21,-,-,2
479,Quetta Gladiators,Abdul Nasir,2020-2021,2,2,1,1,1*,1.00,25.00,-,-,1
480,Quetta Gladiators,Abrar Ahmed,2024-2024,10,5,1,18,12,4.50,85.71,-,-,2
481,Quetta Gladiators,Ahmed Shehzad,2016-2020,35,34,2,904,99,28.25,130.25,-,9,3
482,Quetta Gladiators,Ahsan Ali,2019-2022,19,18,1,444,73,26.11,132.53,-,3,-
483,Quetta Gladiators,Aimal Khan,2023-2023,4,1,1,-,0*,0.00,0.00,-,-,-
484,Quetta Gladiators,Aizaz Cheema,2016-2016,4,1,1,-,0*,0.00,0.00,-,-,-
485,Quetta Gladiators,Akbar-ur-Rehman,2016-2016,7,3,-,15,11,5.00,78.94,-,-,-
486,Quetta Gladiators,Anamul Haque,2017-2017,1,1,-,3,3,3.00,33.33,-,-,-
487,Quetta Gladiators,Anwar Ali,2016-2021,36,26,9,222,28*,13.05,137.88,-,-,-
488,Quetta Gladiators,JC Archer,2018-2018,2,1,-,5,5,5.00,125.00,-,-,-
489,Quetta Gladiators,Arish Ali,2021-2021,1,-,-,-,-,0.00,0.00,-,-,-
490,Quetta Gladiators,Asad Shafiq,2016-2018,16,15,1,279,51,19.92,104.88,-,1,1
491,Quetta Gladiators,Ashir Qureshi,2022-2022,4,1,-,-,-,0.00,0.00,-,-,1
492,Quetta Gladiators,Azam Khan,2019-2021,20,20,1,336,59,17.68,129.23,-,1,3
493,Quetta Gladiators,T Banton,2021-2021,2,2,-,9,5,4.50,81.81,-,-,-
494,Quetta Gladiators,Bismillah Khan,2016-2016,3,3,-,55,55,18.33,157.14,-,1,2
495,Quetta Gladiators,DJ Bravo,2019-2019,6,4,2,23,12*,11.50,79.31,-,-,1
496,Quetta Gladiators,E Chigumbura,2016-2016,5,3,1,10,7*,5.00,76.92,-,-,1
497,Quetta Gladiators,BCJ Cutting,2020-2021,12,12,2,195,53,19.50,159.83,-,1,3
498,Quetta Gladiators,Danish Aziz,2019-2019,1,1,-,1,1,1.00,14.28,-,-,-
499,Quetta Gladiators,CS Delport,2021-2021,5,5,-,13,10,2.60,59.09,-,-,2
500,Quetta Gladiators,BM Duckett,2022-2022,4,4,-,60,47,15.00,120.00,-,-,1
501,Quetta Gladiators,F du Plessis,2021-2021,5,4,-,76,37,19.00,122.58,-,-,-
502,Quetta Gladiators,GD Elliott,2016-2016,6,5,1,65,40,16.25,118.18,-,-,-
503,Quetta Gladiators,RR Emrit,2017-2017,1,1,1,6,6*,0.00,66.66,-,-,-
504,Quetta Gladiators,SM Ervine,2017-2017,1,1,-,24,24,24.00,126.31,-,-,-
505,Quetta Gladiators,LJ Evans,2024-2024,4,4,-,20,12,5.00,100.00,-,-,1
506,Quetta Gladiators,JP Faulkner,2022-2022,6,3,2,49,30*,49.00,181.48,-,-,-
507,Quetta Gladiators,Fawad Ahmed,2019-2020,17,4,-,18,14,4.50,64.28,-,-,2
508,Quetta Gladiators,CH Gayle,2021-2021,2,2,-,107,68,53.50,167.18,-,1,-
509,Quetta Gladiators,Ghulam Mudassar,2019-2022,10,1,-,-,-,0.00,0.00,-,-,1
510,Quetta Gladiators,MJ Guptill,2023-2023,9,9,1,310,117,38.75,150.48,1,1,1
511,Quetta Gladiators,HF Gurney,2019-2019,1,1,1,-,0*,0.00,0.00,-,-,-
512,Quetta Gladiators,Hassan Khan,2017-2022,26,15,7,124,24,15.50,113.76,-,-,3
513,Quetta Gladiators,JW Hastings,2018-2018,3,2,1,5,5*,5.00,62.50,-,-,1
514,Quetta Gladiators,AJ Hosein,2024-2024,10,8,3,113,31,22.60,122.82,-,-,-
515,Quetta Gladiators,Iftikhar Ahmed,2022-2023,20,18,2,327,53,20.43,126.74,-,3,1
516,Quetta Gladiators,Khawaja Nafay,2024-2024,10,10,2,182,60*,22.75,121.33,-,1,-
517,Quetta Gladiators,Khurram Manzoor,2020-2020,1,1,-,63,63,63.00,157.50,-,1,-
518,Quetta Gladiators,Khurram Shahzad,2021-2022,7,4,1,12,11,4.00,41.37,-,-,1
519,Quetta Gladiators,T Kohler-Cadmore,2018-2018,1,1,-,5,5,5.00,100.00,-,-,-
520,Quetta Gladiators,B Laughlin,2018-2018,3,1,1,3,3*,0.00,150.00,-,-,-
521,Quetta Gladiators,NL McCullum,2016-2016,2,2,1,1,1,1.00,25.00,-,-,-
522,Quetta Gladiators,Mahmudullah,2017-2018,9,5,2,71,29*,23.66,120.33,-,-,1
523,Quetta Gladiators,TS Mills,2017-2020,9,3,2,5,4*,5.00,71.42,-,-,1
524,Quetta Gladiators,Mir Hamza,2017-2018,4,1,-,-,-,0.00,0.00,-,-,1
525,Quetta Gladiators,Mohammad Amir,2024-2024,9,6,1,64,23,12.80,139.13,-,-,-
526,Quetta Gladiators,Mohammad Hafeez,2023-2023,7,6,1,135,48,27.00,150.00,-,-,-
527,Quetta Gladiators,Mohammad Hasnain,2019-2024,39,14,8,39,22,6.50,75.00,-,-,2
528,Quetta Gladiators,Mohammad Irfan,2022-2022,2,1,-,-,-,0.00,0.00,-,-,1
529,Quetta Gladiators,Mohammad Irfan,2019-2019,3,-,-,-,-,0.00,0.00,-,-,-
530,Quetta Gladiators,Mohammad Nabi,2016-2016,8,4,1,47,30*,15.66,127.02,-,-,-
531,Quetta Gladiators,Mohammad Nawaz,2016-2023,76,58,16,728,52,17.33,113.21,-,1,3
532,Quetta Gladiators,Mohammad Wasim,2024-2024,8,6,1,30,11,6.00,96.77,-,-,-
533,Quetta Gladiators,Najibullah Zadran,2023-2023,2,2,-,60,59,30.00,162.16,-,1,-
534,Quetta Gladiators,Naseem Shah,2020-2023,29,8,2,17,7,2.83,62.96,-,-,2
535,Quetta Gladiators,Naveen-ul-Haq,2023-2023,4,1,1,17,17*,0.00,242.85,-,-,-
536,Quetta Gladiators,Noor Ahmad,2022-2022,4,3,1,21,13*,10.50,161.53,-,-,1
537,Quetta Gladiators,Omair Yousuf,2023-2024,6,5,-,172,67,34.40,147.00,-,2,-
538,Quetta Gladiators,NLTC Perera,2017-2018,7,5,1,52,27,13.00,115.55,-,-,-
539,Quetta Gladiators,KP Pietersen,2016-2018,27,25,2,611,88*,26.56,139.17,-,4,4
540,Quetta Gladiators,D Pretorius,2023-2023,2,1,1,10,10*,0.00,333.33,-,-,-
541,Quetta Gladiators,Qais Ahmad,2021-2023,6,4,2,44,17*,22.00,146.66,-,-,-
542,Quetta Gladiators,Rahat Ali,2018-2018,11,1,-,-,-,0.00,0.00,-,-,1
543,Quetta Gladiators,Rameez Raja,2018-2018,5,5,1,40,22,10.00,121.21,-,-,-
544,Quetta Gladiators,RR Rossouw,2017-2024,41,39,8,898,76*,28.96,124.20,-,3,-
545,Quetta Gladiators,JJ Roy,2018-2024,33,33,2,1087,145*,35.06,145.71,2,6,3
546,Quetta Gladiators,AD Russell,2021-2021,1,1,-,13,13,13.00,216.66,-,-,-
547,Quetta Gladiators,SE Rutherford,2024-2024,6,6,1,151,58*,30.20,148.03,-,1,-
548,Quetta Gladiators,Saad Nasim,2017-2017,3,3,-,18,9,6.00,112.50,-,-,-
549,Quetta Gladiators,Saim Ayub,2021-2021,7,7,-,114,35,16.28,108.57,-,-,-
550,Quetta Gladiators,Sajjad Ali,2024-2024,1,1,-,2,2,2.00,100.00,-,-,-
551,Quetta Gladiators,KC Sangakkara,2016-2016,4,4,-,129,55,32.25,144.94,-,1,1
552,Quetta Gladiators,Sarfaraz Ahmed,2016-2024,86,73,21,1525,81,29.32,122.68,-,7,2
553,Quetta Gladiators,Saud Shakeel,2024-2024,10,10,1,323,88*,35.88,141.66,-,2,1
554,Quetta Gladiators,Shahid Afridi,2022-2022,3,1,-,4,4,4.00,50.00,-,-,-
555,Quetta Gladiators,WCF Smeed,2022-2023,10,10,-,315,99,31.50,134.61,-,2,1
556,Quetta Gladiators,DR Smith,2019-2019,5,3,1,22,11*,11.00,81.48,-,-,-
557,Quetta Gladiators,OF Smith,2023-2023,6,6,3,50,25*,16.66,125.00,-,-,1
558,Quetta Gladiators,Sohail Khan,2020-2024,11,6,2,72,32,18.00,105.88,-,-,-
559,Quetta Gladiators,Sohail Tanvir,2019-2022,19,9,3,36,13,6.00,65.45,-,-,2
560,Quetta Gladiators,DW Steyn,2021-2021,3,2,2,-,0*,0.00,0.00,-,-,-
561,Quetta Gladiators,N Thushara,2023-2023,1,1,1,-,0*,0.00,0.00,-,-,-
562,Quetta Gladiators,Umaid Asif,2023-2023,3,2,1,11,11*,11.00,157.14,-,-,1
563,Quetta Gladiators,Umar Akmal,2019-2023,23,20,3,473,75*,27.82,152.09,-,3,1
564,Quetta Gladiators,Umar Amin,2018-2018,6,6,1,97,31,19.40,101.04,-,-,-
565,Quetta Gladiators,Umar Gul,2016-2017,8,3,-,2,2,0.66,33.33,-,-,2
566,Quetta Gladiators,Usman Khan,2021-2021,6,6,-,150,81,25.00,121.95,-,1,1
567,Quetta Gladiators,Usman Shinwari,2021-2021,5,2,-,7,7,3.50,70.00,-,-,1
568,Quetta Gladiators,Usman Tariq,2024-2024,5,3,2,2,1*,2.00,40.00,-,-,-
569,Quetta Gladiators,MN van Wyk,2017-2017,1,1,-,1,1,1.00,14.28,-,-,-
570,Quetta Gladiators,JM Vince,2022-2022,6,6,1,107,49*,21.40,117.58,-,-,3
571,Quetta Gladiators,SR Watson,2018-2020,31,31,3,996,91*,35.57,143.93,-,8,2
572,Quetta Gladiators,J Weatherald,2021-2021,5,5,-,148,48,29.60,125.42,-,-,-
573,Quetta Gladiators,JD Wildermuth,2021-2021,2,2,1,17,9,17.00,94.44,-,-,-
574,Quetta Gladiators,L Wood,2022-2022,1,-,-,-,-,0.00,0.00,-,-,-
575,Quetta Gladiators,LJ Wright,2016-2017,7,7,1,181,86*,30.16,128.36,-,1,-
576,Quetta Gladiators,Yasir Khan,2023-2023,2,2,-,19,14,9.50,73.07,-,-,-
577,Quetta Gladiators,Zahid Mahmood,2020-2021,7,5,2,24,19*,8.00,80.00,-,-,2
578,Quetta Gladiators,Zahir Khan,2021-2021,2,2,1,12,6*,12.00,150.00,-,-,-
579,Quetta Gladiators,Zahoor Khan,2021-2021,1,-,-,-,-,0.00,0.00,-,-,-
580,Quetta Gladiators,Zulfiqar Babar,2016-2017,18,6,3,23,20*,7.66,135.29,-,-,2
